League,Start Time,Game,Pick Desc,Type,Period,Odds,Odds/Spread/Total,Result,Units Wagered,Units Net,Money Wagered,Money Net,
laliga,2024-12-18T20:30:00.000Z,RVC @ VIL,,custom,game,-120,1.5,loss,1.44,-1.44,14.4,-14.4,
ncaab,2024-12-19T01:00:00.000Z,SF @ BRAD,BRAD -1.5 -110,spread_home,game,-110,-1.5,win,1.65,1.5,16.5,15,
ncaab,2024-12-19T02:00:00.000Z,NICH @ GONZ,(1H) GONZ -21.5 -110,spread_home,firsthalf,-110,-21.5,loss,1.65,-1.65,16.5,-16.5,
ncaab,2024-12-19T02:00:00.000Z,NICH @ GONZ,(Live) GONZ -22.5 -112,spread_home,game,-112,-22.5,win,1,0.8929,10,8.9286,
ncaab,2024-12-19T02:00:00.000Z,ALA @ UND,(Live) ALA -10.5 -111,spread_away,game,-111,-10.5,loss,1.665,-1.665,16.65,-16.65,
ncaab,2024-12-19T02:00:00.000Z,NICH @ GONZ,,custom,game,-110,96.5,loss,1.8,-1.8,18,-18,
ncaab,2024-12-19T02:00:00.000Z,NICH @ GONZ,GONZ -36 -115,spread_home,game,-115,-36,loss,1.725,-1.725,17.25,-17.25,
nba,2024-12-20T00:30:00.000Z,BKN @ TOR,,custom,game,-143,7.5,loss,1,-1,10,-10,
nfl,2024-12-20T01:15:00.000Z,DEN @ LAC,,custom,game,-130,21.5,loss,1.95,-1.95,19.5,-19.5,
nfl,2024-12-20T01:15:00.000Z,DEN @ LAC,,custom,game,-120,43.5,loss,1.8,-1.8,18,-18,
nfl,2024-12-20T01:15:00.000Z,DEN @ LAC,(Live) LAC +143,ml_home,game,143,143,win,1.399,2.0006,13.99,20.0057,
ncaaf,2024-12-20T17:00:00.000Z,OHIO @ JVST,,custom,game,-114,64.5,win,1.75,1.5351,17.5,15.3509,
ncaaf,2024-12-20T20:30:00.000Z,TULN @ FLA,FLA -10 -110,spread_home,game,-110,-10,win,3.3,3,33,30,
ncaaf,2024-12-20T20:30:00.000Z,TULN @ FLA,,custom,game,-135,30.5,win,1.35,1,13.5,10,
nba,2024-12-21T00:00:00.000Z,CHA @ PHI,,custom,game,-115,12.5,loss,1.2,-1.2,12,-12,
nba,2024-12-21T00:30:00.000Z,MIL @ CLE,,custom,game,-105,12.5,loss,1.2,-1.2,12,-12,
ncaaf,2024-12-21T01:00:00.000Z,IU @ ND,IU +230,ml_away,game,230,230,loss,2.4,-2.4,24,-24,
